Train Name,Date,Station Name,Scheduled Arrival Time,Actual Arrival Time,Scheduled Departure Time,Actual Departure Time,Distance Between Stations (km),Average Speed (km/h),Weather Condition,Temperature (C),Rainfall (mm),Visibility (km),Traffic Congestion,Platform Number,Cause of Delay (if any)
New Delhi Rajdhani Express (12302),2000-01-15,Kanpur Central,21:00,21:01,21:05,21:06,439,107.1,Fog,6.1,N/A,0.77,None,5,None
New Delhi Rajdhani Express (12302),2000-01-15,Pt Deen Dayal Upadhyaya Jn,23:35,23:36,23:45,23:46,347,130,Fog,6.1,N/A,0.77,None,1,None
New Delhi Rajdhani Express (12302),2000-01-15,Gaya Jn,01:15,01:15,01:20,01:20,203,130,Fog,6.1,N/A,0.77,None,5,None
New Delhi Rajdhani Express (12302),2000-01-15,Dhanbad Jn,03:00,03:02,03:05,03:07,199,117.1,Fog,6.1,N/A,0.77,None,2,None
New Delhi Rajdhani Express (12302),2000-01-15,Howrah Jn,09:55,09:56,None,None,259,38.0,Fog,6.1,N/A,0.77,None,4,None
New Delhi Rajdhani Express (12302),2000-01-16,New Delhi,None,None,16:55,16:55,N/A,N/A,Cloudy,14.4,N/A,N/A,None,4,None
New Delhi Rajdhani Express (12302),2000-01-16,Kanpur Central,21:00,21:00,21:05,21:05,439,107.5,Cloudy,14.4,N/A,N/A,None,3,None
New Delhi Rajdhani Express (12302),2000-01-16,Pt Deen Dayal Upadhyaya Jn,23:35,23:37,23:45,23:47,347,130,Cloudy,14.4,N/A,N/A,None,1,None
New Delhi Rajdhani Express (12302),2000-01-16,Gaya Jn,01:15,01:15,01:20,01:20,203,130,Cloudy,14.4,N/A,N/A,None,3,None
New Delhi Rajdhani Express (12302),2000-01-16,Dhanbad Jn,03:00,03:00,03:05,03:05,199,119.4,Cloudy,14.4,N/A,N/A,Low,4,None
New Delhi Rajdhani Express (12302),2000-01-16,Howrah Jn,09:55,09:57,None,None,259,37.7,Cloudy,14.4,N/A,N/A,None,4,None
New Delhi Rajdhani Express (12302),2000-01-17,New Delhi,None,None,16:55,16:55,N/A,N/A,Cloudy,10.5,N/A,N/A,None,5,None
New Delhi Rajdhani Express (12302),2000-01-17,Kanpur Central,21:00,21:00,21:05,21:05,439,107.5,Cloudy,10.5,N/A,N/A,None,2,None
New Delhi Rajdhani Express (12302),2000-01-17,Pt Deen Dayal Upadhyaya Jn,23:35,23:37,23:45,23:47,347,130,Cloudy,10.5,N/A,N/A,None,5,None
New Delhi Rajdhani Express (12302),2000-01-17,Gaya Jn,01:15,01:16,01:20,01:21,203,130,Cloudy,10.5,N/A,N/A,None,5,None
New Delhi Rajdhani Express (12302),2000-01-17,Dhanbad Jn,03:00,03:00,03:05,03:05,199,120.6,Cloudy,10.5,N/A,N/A,None,3,None
New Delhi Rajdhani Express (12302),2000-01-17,Howrah Jn,09:55,09:56,None,None,259,37.8,Cloudy,10.5,N/A,N/A,None,1,None
New Delhi Rajdhani Express (12302),2000-01-18,New Delhi,None,None,16:55,16:56,N/A,N/A,Cold Wave,-0.0,N/A,N/A,None,5,None
New Delhi Rajdhani Express (12302),2000-01-18,Kanpur Central,21:00,21:01,21:05,21:06,439,107.5,Cold Wave,-0.0,N/A,N/A,None,4,None
New Delhi Rajdhani Express (12302),2000-01-18,Pt Deen Dayal Upadhyaya Jn,23:35,23:36,23:45,23:46,347,130,Cold Wave,-0.0,N/A,N/A,None,5,None
New Delhi Rajdhani Express (12302),2000-01-18,Gaya Jn,01:15,01:16,01:20,01:21,203,130,Cold Wave,-0.0,N/A,N/A,None,1,None
New Delhi Rajdhani Express (12302),2000-01-18,Dhanbad Jn,03:00,03:14,03:05,03:19,199,105.7,Cold Wave,-0.0,N/A,N/A,Low,3,Speed restriction due to cold wave (-0.0°C) - visibility/frost risk
New Delhi Rajdhani Express (12302),2000-01-18,Howrah Jn,09:55,10:06,None,None,259,38.2,Cold Wave,-0.0,N/A,N/A,Low,5,Speed restriction due to cold wave (-0.0°C) - visibility/frost risk
New Delhi Rajdhani Express (12302),2000-01-19,New Delhi,None,None,16:55,17:10,N/A,N/A,Fog,15.8,N/A,0.09,Low,2,Speed restriction due to dense fog (visibility 0.09 km)
New Delhi Rajdhani Express (12302),2000-01-19,Kanpur Central,21:00,21:12,21:05,21:17,439,108.8,Fog,15.8,N/A,0.09,Low,4,Speed restriction due to dense fog (visibility 0.09 km)
New Delhi Rajdhani Express (12302),2000-01-19,Pt Deen Dayal Upadhyaya Jn,23:35,23:50,23:45,00:00,347,130,Fog,15.8,N/A,0.09,Low,2,Speed restriction due to dense fog (visibility 0.09 km)
New Delhi Rajdhani Express (12302),2000-01-19,Gaya Jn,01:15,01:30,01:20,01:35,203,130,Fog,15.8,N/A,0.09,Low,3,Speed restriction due to dense fog (visibility 0.09 km)
New Delhi Rajdhani Express (12302),2000-01-19,Dhanbad Jn,03:00,03:14,03:05,03:19,199,120.6,Fog,15.8,N/A,0.09,Low,1,Speed restriction due to dense fog (visibility 0.09 km)
New Delhi Rajdhani Express (12302),2000-01-19,Howrah Jn,09:55,10:09,None,None,259,37.9,Fog,15.8,N/A,0.09,Low,3,Speed restriction due to dense fog (visibility 0.09 km)
New Delhi Rajdhani Express (12302),2000-01-20,New Delhi,None,None,16:55,16:56,N/A,N/A,Clear,6.7,N/A,N/A,None,1,None
New Delhi Rajdhani Express (12302),2000-01-20,Kanpur Central,21:00,21:01,21:05,21:06,439,107.5,Clear,6.7,N/A,N/A,None,4,None
New Delhi Rajdhani Express (12302),2000-01-20,Pt Deen Dayal Upadhyaya Jn,23:35,23:35,23:45,23:45,347,130,Clear,6.7,N/A,N/A,None,4,None
New Delhi Rajdhani Express (12302),2000-01-20,Gaya Jn,01:15,01:15,01:20,01:20,203,130,Clear,6.7,N/A,N/A,None,5,None
New Delhi Rajdhani Express (12302),2000-01-20,Dhanbad Jn,03:00,03:00,03:05,03:05,199,119.4,Clear,6.7,N/A,N/A,None,4,None
New Delhi Rajdhani Express (12302),2000-01-20,Howrah Jn,09:55,09:55,None,None,259,37.9,Clear,6.7,N/A,N/A,None,2,None
New Delhi Rajdhani Express (12302),2000-01-21,New Delhi,None,None,16:55,17:53,N/A,N/A,Mist,18.2,N/A,1.58,High,4,Passenger emergency (medical)
New Delhi Rajdhani Express (12302),2000-01-21,Kanpur Central,21:00,21:52,21:05,21:57,439,110.2,Mist,18.2,N/A,1.58,High,2,Passenger emergency (medical)
New Delhi Rajdhani Express (12302),2000-01-21,Pt Deen Dayal Upadhyaya Jn,23:35,00:25,23:45,00:35,347,130,Mist,18.2,N/A,1.58,High,5,Passenger emergency (medical)
New Delhi Rajdhani Express (12302),2000-01-21,Gaya Jn,01:15,01:58,01:20,02:03,203,130,Mist,18.2,N/A,1.58,High,4,Passenger emergency (medical)
New Delhi Rajdhani Express (12302),2000-01-21,Dhanbad Jn,03:00,03:41,03:05,03:46,199,121.8,Mist,18.2,N/A,1.58,High,4,Passenger emergency (medical)
New Delhi Rajdhani Express (12302),2000-01-21,Howrah Jn,09:55,10:27,None,None,259,38.8,Mist,18.2,N/A,1.58,High,5,Passenger emergency (medical)
New Delhi Rajdhani Express (12302),2000-01-22,New Delhi,None,None,16:55,16:57,N/A,N/A,Cold Wave,0.2,N/A,N/A,None,3,None
New Delhi Rajdhani Express (12302),2000-01-22,Kanpur Central,21:00,21:02,21:05,21:07,439,107.5,Cold Wave,0.2,N/A,N/A,None,1,None
New Delhi Rajdhani Express (12302),2000-01-22,Pt Deen Dayal Upadhyaya Jn,23:35,23:36,23:45,23:46,347,130,Cold Wave,0.2,N/A,N/A,None,2,None
New Delhi Rajdhani Express (12302),2000-01-22,Gaya Jn,01:15,01:15,01:20,01:20,203,130,Cold Wave,0.2,N/A,N/A,None,3,None
New Delhi Rajdhani Express (12302),2000-01-22,Dhanbad Jn,03:00,03:20,03:05,03:25,199,99.5,Cold Wave,0.2,N/A,N/A,Medium,5,Technical fault in locomotive
New Delhi Rajdhani Express (12302),2000-01-22,Howrah Jn,09:55,10:15,None,None,259,37.9,Cold Wave,0.2,N/A,N/A,Medium,3,Technical fault in locomotive
New Delhi Rajdhani Express (12302),2000-01-23,New Delhi,None,None,16:55,16:56,N/A,N/A,Clear,18.3,N/A,N/A,None,4,None
New Delhi Rajdhani Express (12302),2000-01-23,Kanpur Central,21:00,21:03,21:05,21:08,439,106.6,Clear,18.3,N/A,N/A,None,1,None
New Delhi Rajdhani Express (12302),2000-01-23,Pt Deen Dayal Upadhyaya Jn,23:35,23:37,23:45,23:47,347,130,Clear,18.3,N/A,N/A,None,1,None
New Delhi Rajdhani Express (12302),2000-01-23,Gaya Jn,01:15,01:16,01:20,01:21,203,130,Clear,18.3,N/A,N/A,None,4,None
New Delhi Rajdhani Express (12302),2000-01-23,Dhanbad Jn,03:00,03:02,03:05,03:07,199,118.2,Clear,18.3,N/A,N/A,None,5,None
New Delhi Rajdhani Express (12302),2000-01-23,Howrah Jn,09:55,09:56,None,None,259,38.0,Clear,18.3,N/A,N/A,None,1,None
New Delhi Rajdhani Express (12302),2000-01-24,New Delhi,None,None,16:55,16:57,N/A,N/A,Cloudy,6.2,N/A,N/A,None,4,None
New Delhi Rajdhani Express (12302),2000-01-24,Kanpur Central,21:00,21:01,21:05,21:06,439,108.0,Cloudy,6.2,N/A,N/A,None,2,None
New Delhi Rajdhani Express (12302),2000-01-24,Pt Deen Dayal Upadhyaya Jn,23:35,23:36,23:45,23:46,347,130,Cloudy,6.2,N/A,N/A,None,2,None
New Delhi Rajdhani Express (12302),2000-01-24,Gaya Jn,01:15,01:15,01:20,01:20,203,130,Cloudy,6.2,N/A,N/A,None,3,None
New Delhi Rajdhani Express (12302),2000-01-24,Dhanbad Jn,03:00,03:01,03:05,03:06,199,118.2,Cloudy,6.2,N/A,N/A,None,1,None
New Delhi Rajdhani Express (12302),2000-01-24,Howrah Jn,09:55,09:56,None,None,259,37.9,Cloudy,6.2,N/A,N/A,None,5,None
New Delhi Rajdhani Express (12302),2000-01-25,New Delhi,None,None,16:55,16:56,N/A,N/A,Cloudy,11.5,N/A,N/A,None,4,None
New Delhi Rajdhani Express (12302),2000-01-25,Kanpur Central,21:00,21:00,21:05,21:05,439,108.0,Cloudy,11.5,N/A,N/A,None,3,None
New Delhi Rajdhani Express (12302),2000-01-25,Pt Deen Dayal Upadhyaya Jn,23:35,23:36,23:45,23:46,347,130,Cloudy,11.5,N/A,N/A,None,3,None
New Delhi Rajdhani Express (12302),2000-01-25,Gaya Jn,01:15,01:16,01:20,01:21,203,130,Cloudy,11.5,N/A,N/A,None,1,None
New Delhi Rajdhani Express (12302),2000-01-25,Dhanbad Jn,03:00,03:00,03:05,03:05,199,120.6,Cloudy,11.5,N/A,N/A,None,2,None
New Delhi Rajdhani Express (12302),2000-01-25,Howrah Jn,09:55,09:56,None,None,259,37.8,Cloudy,11.5,N/A,N/A,None,2,None
New Delhi Rajdhani Express (12302),2000-01-26,New Delhi,None,None,16:55,16:57,N/A,N/A,Cold Wave,4.0,N/A,N/A,None,5,None
New Delhi Rajdhani Express (12302),2000-01-26,Kanpur Central,21:00,21:02,21:05,21:07,439,107.5,Cold Wave,4.0,N/A,N/A,None,1,None
New Delhi Rajdhani Express (12302),2000-01-26,Pt Deen Dayal Upadhyaya Jn,23:35,23:37,23:45,23:47,347,130,Cold Wave,4.0,N/A,N/A,None,1,None
New Delhi Rajdhani Express (12302),2000-01-26,Gaya Jn,01:15,01:16,01:20,01:21,203,130,Cold Wave,4.0,N/A,N/A,Low,2,None
New Delhi Rajdhani Express (12302),2000-01-26,Dhanbad Jn,03:00,03:02,03:05,03:07,199,118.2,Cold Wave,4.0,N/A,N/A,None,3,None
New Delhi Rajdhani Express (12302),2000-01-26,Howrah Jn,09:55,09:56,None,None,259,38.0,Cold Wave,4.0,N/A,N/A,None,2,None
New Delhi Rajdhani Express (12302),2000-01-27,New Delhi,None,None,16:55,16:55,N/A,N/A,Clear,18.3,N/A,N/A,None,3,None
New Delhi Rajdhani Express (12302),2000-01-27,Kanpur Central,21:00,21:00,21:05,21:05,439,107.5,Clear,18.3,N/A,N/A,None,5,None
New Delhi Rajdhani Express (12302),2000-01-27,Pt Deen Dayal Upadhyaya Jn,23:35,23:38,23:45,23:48,347,130,Clear,18.3,N/A,N/A,None,3,None
New Delhi Rajdhani Express (12302),2000-01-27,Gaya Jn,01:15,01:17,01:20,01:22,203,130,Clear,18.3,N/A,N/A,None,1,None
New Delhi Rajdhani Express (12302),2000-01-27,Dhanbad Jn,03:00,03:02,03:05,03:07,199,119.4,Clear,18.3,N/A,N/A,None,3,None
New Delhi Rajdhani Express (12302),2000-01-27,Howrah Jn,09:55,09:57,None,None,259,37.9,Clear,18.3,N/A,N/A,None,5,None
New Delhi Rajdhani Express (12302),2000-01-28,New Delhi,None,None,16:55,16:57,N/A,N/A,Fog,9.4,N/A,0.71,None,1,None
New Delhi Rajdhani Express (12302),2000-01-28,Kanpur Central,21:00,21:01,21:05,21:06,439,108.0,Fog,9.4,N/A,0.71,None,3,None
New Delhi Rajdhani Express (12302),2000-01-28,Pt Deen Dayal Upadhyaya Jn,23:35,02:56,23:45,03:06,347,59.5,Fog,9.4,N/A,0.71,Medium,5,Speed restriction due to shallow fog (visibility 0.71 km)
New Delhi Rajdhani Express (12302),2000-01-28,Gaya Jn,01:15,04:34,01:20,04:39,203,130,Fog,9.4,N/A,0.71,Medium,4,Speed restriction due to shallow fog (visibility 0.71 km)
New Delhi Rajdhani Express (12302),2000-01-28,Dhanbad Jn,03:00,06:15,03:05,06:20,199,124.4,Fog,9.4,N/A,0.71,Medium,1,Speed restriction due to shallow fog (visibility 0.71 km)
